 ID ,Skladem (pocet kusu),URL
1,5,/o-kralickovi-a-cernem-slunci-d1|/d0001
2,0,/o-neposlusnych-kuzlatkach-d2|/d0002
3,0,/o-zaklete-sestre-d3|/d0003
4,3,/spravedlivy-soudce-d4|/d0004
5,2,/brok-a-puntik-d5|/d0005
6,1,/kouzelny-dub-d6|/d0006
7,4,/pohadka-o-krajicku-chleba-d7|/d0007
8,1,/sedm-havranu-d8|/d0008
9,3,/proc-nosi-monteri-modre-saty-d9|/d0009
10,4,/maruska-a-medved-d10|/d0010
11,4,/rybar-a-rybka-d11|/d0011
12,0,/jablunka-se-zlatymi-jablky-d12|/d0012
13,1,/neohrozeny-mikes-d13|/d0013
14,1,/o-popelce-d14|/d0014
15,12,/ve-svete-zvirat-1dil-d15|/d0015
16,0,/jak-si-pejsek-roztrhl-kalhoty-d16|/d0016
17,0,/jak-si-pejsek-s-kocickou-delali-dort-d17|/d0017
18,9,/ve-svete-zvirat-2-dil-d18|/d0018
19,3,/tri-zlate-vlasy-deda-vseveda-d19|/d0019
20,1,/o-pernikove-chaloupce-d20|/d0020
21,0,/o-popelce-d21|/d0021
22,0,/o-kohoutkovi-a-slepicce-d22|/d0022
23,0,/jak-pejska-bolel-zoubek-d23|/d0023
24,0,/hrnecku-var-d24|/d0024
25,0,/tri-prasatka-d25|/d0025
26,0,/vanoce-d26|/d0026
27,1,/zlatovlaska-d27|/d0027
28,0,/o-dvanacti-mesickach-d28|/d0028
29,0,/o-smolickovi-d29|/d0029
30,1,/o-lakome-kocicce-d30|/d0030
31,9,/sipkova-ruzenka-d31|/d0031
32,0,/jak-krtek-ke-kalhotkam-prisel-d32|/d0032
33,4,/broucci-3-d33|/d0033
34,0,/v-risi-hmyzu-a-broucku-d34|/d0034
35,0,/o-slunecniku-mesicniku-a-vetrniku-d35|/d0035
36,0,/sul-nad-zlato-d36|/d0036
37,0,/o-budulinkovi-d37|/d0037
38,0,/broucci-2-d38|/d0038
39,0,/o-hloupem-pecivalovi-d39|/d0039
40,7,/krejcik-kralem-d40|/d0040
41,0,/broucci-1-d41|/d0041
42,0,/cert-a-kaca-d42|/d0042
43,1,/dlouhy-siroky-a-bystrozraky-d43|/d0043
44,0,/o-neposlusnych-kuzlatkach-d44|/d0044
45,5,/zabka-kralovna-d45|/d0045
46,0,/zviratka-a-loupeznici-d46|/d0046
47,2,/janicek-s-vonickou-d47|/d0047
48,0,/certuv-mlyn-d48|/d0048
49,0,/princezna-na-hrasku-d49|/d0049
50,2,/o-zlatem-kolovratku-d50|/d0050
51,0,/ptak-ohnivak-a-liska-ryska-d51|/d0051
52,0,/o-chytrem-jenikovi-a-zle-jezibabe-d52|/d0052
53,1,/zlatovlaska-d53|/d0053
54,0,/popeluska-d54|/d0054
55,0,/lucni-kvetinky-d55|/d0055
56,0,/coby-kdybyjak-madlenka-chodila-po-vode-d56|/d0056
57,3,/o-nevdecnem-kuratku-d57|/d0057
58,5,/hloupy-jan-d58|/d0058
59,0,/otesanek-d59|/d0059
60,0,/koblizek-na-cestach-d60|/d0060
61,0,/deti-v-lese-d61|/d0061
62,0,/o-panence-ktera-tence-plakala-d62|/d0062
63,5,/pohadka-o-stromech-a-vetru-d63|/d0063
64,2,/robinson-crusoe-1dil-d64|/d0064
65,8,/robinson-crusoe-2dil-d65|/d0065
66,1,/kalif-capem-d66|/d0066
67,11,/vdecna-zviratka-d67|/d0067
68,1,/otesanek-d68|/d0068
69,0,/sipkova-ruzenka-d69|/d0069
70,0,/zvidalek-jde-do-skoly-d70|/d0070
71,9,/o-spalickovi-d71|/d0071
72,0,/liska-a-cap-d72|/d0072
73,1,/deti-jdou-mestem-d73|/d0073
74,0,/nemocny-medved-d74|/d0074
75,0,/divotvorny-dzban-d75|/d0075
76,0,/o-starem-psu-a-vlku-d76|/d0076
77,5,/pysna-princezna-1dil-d77|/d0077
78,6,/pysna-princezna-2dil-d78|/d0078
79,1,/snehulaci-d79|/d0079
80,0,/o-pernikove-chaloupce-d80|/d0080
81,4,/otesanek-d81|/d0081
82,0,/pohadka-o-princi-mydlarovi-d82|/d0082
83,0,/jak-si-pejsek-s-kocickou-myli-podlahu-d83|/d0083
84,3,/o-velike-repe-d84|/d0084
85,0,/krasna-violka-d85|/d0085
86,0,/o-dvanacti-mesickach-d86|/d0086
87,0,/stary-bodrik-a-vlk-d87|/d0087
88,2,/o-rybari-a-rybce-d88|/d0088
89,0,/s-vsudybylem-do-pohadky-d89|/d0089
90,1,/potrestana-pycha-d90|/d0090
91,14,/princezna-pampeliska-d91|/d0091
92,0,/cervena-karkulka-d92|/d0092
93,1,/zajickova-chaloupka-d93|/d0093
94,0,/rukavicka-d94|/d0094
95,3,/o-hloupem-honzovi-d95|/d0095
96,3,/zaba-na-suchu-senosec-d96|/d0096
97,1,/o-dvanacti-mesickach-d97|/d0097
98,1,/o-pernikove-chaloupce-d98|/d0098
99,11,/kun-barona-prasila-d99|/d0099
100,4,/zviratka-a-loupeznici-d100|/d0100
101,0,/byl-jeden-domecek-d101|/d0101
102,0,/o-slunecniku-mesicniku-a-vetrniku-d102|/d0102
103,5,/rozcitadlo-d103|/d0103
104,0,/o-kotaku-ktere-zapomnelo-mnoukat-d104|/d0104
105,3,/svoz-obili-kolace-d105|/d0105
106,0,/zizalka-muzikantka-d106|/d0106
107,3,/uhadni-mne-sedmitecna-d107|/d0107
108,5,/smrcek-d108|/d0108
109,0,/zazracni-volecci-d109|/d0109
110,1,/o-vandrovnem-d110|/d0110
111,0,/koza-rohata-a-jezek-1-d111|/d0111
112,0,/koza-rohata-a-jezek-2-d112|/d0112
113,2,/o-kulhave-vlastovicce-d113|/d0113
114,3,/jura-matej-jan-d114|/d0114
115,0,/kohoutek-a-mlynek-d115|/d0115
116,3,/zajic-chvastoun-d116|/d0116
117,2,/zazracna-bylina-d117|/d0117
118,4,/podzim-s-drakem-prvni-snih-d118|/d0118
119,1,/liska-a-vlk-d119|/d0119
120,2,/jak-to-vlastne-je-bodlak-d120|/d0120
121,5,/nemyta-pradlo-d121|/d0121
122,0,/o-kalifu-capovi-d122|/d0122
123,0,/kocour-v-botach-d123|/d0123
124,0,/kocour-v-botach-d124|/d0124
125,2,/domaci-zviratka-d125|/d0125
126,2,/bratricek-jelinek-d126|/d0126
127,2,/divotvorna-harfa-d127|/d0127
128,10,/otcovo-dedictvi-d128|/d0128
129,5,/o-pilne-slepicce-d129|/d0129
130,0,/statecne-kuratko-d130|/d0130
131,1,/snehova-kralovna-d131|/d0131
132,5,/peta-a-vlk-d132|/d0132
133,7,/pohadka-o-honzovi-d133|/d0133
134,3,/jezek-d134|/d0134
135,4,/zajicek-hrdopysek-d135|/d0135
136,3,/moudry-zlatnik-d136|/d0136
137,0,/o-kohoutkovi-ktery-sel-do-sveta-d137|/d0137
138,5,/podivuhodne-dobrodruzstvi-barona-prasila-1-d138|/d0138
139,5,/podivuhodne-dobrodruzstvi-barona-prasila-2-d139|/d0139
140,0,/neposlusny-budulinek-d140|/d0140
141,0,/aladinova-kouzelna-lampa-d141|/d0141
142,1,/ptak-ohnivak-a-liska-ryska-d142|/d0142
143,0,/zvedava-veverka-d143|/d0143
144,0,/divotvorne-dudy-d144|/d0144
145,0,/jak-ucil-stary-cap-o-rybniku-d145|/d0145
146,2,/snehurka-a-sedm-trpasliku-d146|/d0146
147,5,/honza-a-vitr-d147|/d0147
148,7,/o-modrem-ptacku-d148|/d0148
149,0,/neohrozeny-mikes-d149|/d0149
150,3,/o-cerne-princezne-d150|/d0150
151,1,/o-popelce-d151|/d0151
152,0,/pernikova-chaloupka-d152|/d0152
153,0,/koblizek-na-vandru-d153|/d0153
154,15,/obuchu-hybej-se-d154|/d0154
155,0,/mala-morska-vila-d155|/d0155
156,0,/kral-lavra-d156|/d0156
157,7,/ziva-voda-d157|/d0157
158,2,/o-kovladu-d158|/d0158
159,0,/cert-a-kaca-d159|/d0159
160,1,/kubula-a-kuba-kubikula-d160|/d0160
161,1,/kasparek-a-hastrman-d161|/d0161
162,33,/vesele-valceni-barona-prasila-d162|/d0162
163,0,/kresadlo-d163|/d0163
164,1,/kacenka-a-deda-mraz-d164|/d0164
165,1,/hlemyzdi-pohadka-d165|/d0165
166,18,/paleckova-dobrodruzstvi-d166|/d0166
167,0,/pohadka-o-zenichu-medvedovi-d167|/d0167
168,0,/dlouhy-siroky-a-bystrozraky-d168|/d0168
169,3,/pes-a-datel-d169|/d0169
170,2,/o-cervene-karkulce-d170|/d0170
171,1,/baron-prasil-d171|/d0171
172,0,/ubrousku-prostri-se-d172|/d0172
173,2,/sedmero-krkavcu-d173|/d0173
174,2,/o-smolickovi-d174|/d0174
175,1,/pohadka-o-nepravem-princi-d175|/d0175
176,0,/o-cervene-karkulce-d176|/d0176
177,0,/o-dvanacti-mesickach-d177|/d0177
178,0,/popelka-d178|/d0178
179,0,/zdravuska-a-mikrobi-d179|/d0179
180,4,/princezna-se-zlatou-hvezdou-d180|/d0180
181,3,/kral-lavra-d181|/d0181
182,2,/o-zle-koze-d182|/d0182
183,8,/zlaty-kolovrat-d183|/d0183
184,0,/jirka-s-kozou-d184|/d0184
185,0,/zviratka-v-lese-d185|/d0185
186,0,/slavik-d186|/d0186
187,5,/pohadka-o-malem-mukovi-d187|/d0187
188,0,/alabastrova-rucicka-d188|/d0188
189,4,/o-zlatohlavkovi-d189|/d0189
190,5,/tri-bile-ruze-d190|/d0190
191,5,/kde-je-misa-d191|/d0191
192,2,/tri-zlate-vlasy-deda-vseveda-d192|/d0192
193,2,/o-budulinkovi-d193|/d0193
194,3,/nejvzacnejsi-dar-d194|/d0194
195,0,/zle-labute-d195|/d0195
196,0,/pomsta-vrabcu-d196|/d0196
197,2,/princezna-se-zlatou-hvezdou-d197|/d0197
198,0,/jak-jaromil-ke-stesti-prisel-d198|/d0198
199,3,/o-dvanacti-mesickach-d199|/d0199
200,9,/poledni-vitr-d200|/d0200
201,0,/o-kohoutkovi-a-slepicce-d201|/d0201
202,0,/o-umounenem-kosilackovi-d202|/d0202
203,0,/zlatovlaska-d203|/d0203
204,2,/pohadka-o-slunecku-sedmitecnem-d204|/d0204
205,0,/chudy-svec-d205|/d0205
206,0,/o-kocouru-kohoutu-a-kose-d206|/d0206
207,0,/micek-flicek-d207|/d0207
208,2,/pohadka-pro-terezku-d208|/d0208
209,0,/kouzelne-sklicko-d209|/d0209
210,1,/o-krali-co-nepoznal-housle-d210|/d0210
211,0,/filipove-bez-filipa-d211|/d0211
212,2,/pri-rybniku-d212|/d0212
213,0,/o-konradovi-ktery-psal-nosem-d213|/d0213
214,0,/o-krasne-pasacce-d214|/d0214
215,0,/snehurka-a-sedm-trpasliku-d215|/d0215
216,1,/o-neposlusnych-kozlatkach-d216|/d0216
217,0,/zviratka-a-loupeznici-d217|/d0217
218,0,/jak-se-stal-matej-cvrcek-doktorem-d218|/d0218
219,0,/snehova-kralovna-d219|/d0219
220,0,/sul-nad-zlato-d220|/d0220
221,1,/pohadka-o-cervene-karkulce-d221|/d0221
222,0,/o-lisce-a-vlkovi-d222|/d0222
223,1,/jak-ivan-dostal-princeznu-d223|/d0223
224,1,/saty-s-pavy-housaty-a-jeleny-d224|/d0224
225,0,/o-jednom-krali-d225|/d0225
226,1,/zuzanka-a-pismenka-d226|/d0226
227,0,/na-chodniku-a-na-silnici-d227|/d0227
228,0,/barborka-a-cucave-bonbony-d228|/d0228
229,1,/kveten-d229|/d0229
230,2,/o-princi-z-kratke-pohadky-d230|/d0230
231,0,/smrt-kmotricka-d231|/d0231
232,0,/snehurka-a-sedm-trpasliku-d232|/d0232
233,0,/zviratka-a-petrovsti-d233|/d0233
234,3,/pohadka-o-malem-mukovi-d234|/d0234
235,0,/divoke-labute-d235|/d0235
236,0,/novorocni-pohadka-d236|/d0236
237,0,/bile-opojeni-d237|/d0237
238,0,/na-koleckach-d238|/d0238
239,0,/krysar-d239|/d0239
240,0,/pohadka-o-hodinach-d240|/d0240
241,0,/darek-1-d241|/d0241
242,0,/stalo-se-na-paprikove-ulici-d242|/d0242
243,4,/kresadlo-d243|/d0243
244,0,/malenka-d244|/d0244
245,0,/kouzelna-lampa-d245|/d0245
246,0,/odvazny-krejcik-d246|/d0246
247,0,/mala-morska-vila-d247|/d0247
248,1,/osklive-kacatko-d248|/d0248
249,0,/dostihy-d249|/d0249
250,0,/sipkova-ruzenka-d250|/d0250
251,0,/cervena-karkulka-d251|/d0251
252,9,/labuti-klicek-d252|/d0252
253,5,/baca-a-drak-d253|/d0253
254,0,/zviratka-z-celeho-sveta-d254|/d0254
255,2,/princezna-na-hrasku-d255|/d0255
256,0,/dlouhy-siroky-a-bystrozraky-d256|/d0256
257,0,/sul-nad-zlato-d257|/d0257
258,1,/o-paleckovi-d258|/d0258
259,0,/o-zlate-rybce-d259|/d0259
260,4,/dva-mrazici-d260|/d0260
261,2,/pan-spravce-a-cert-d261|/d0261
262,0,/ebenovy-kun-d262|/d0262
263,0,/cesta-do-stredu-zeme-d263|/d0263
264,0,/delate-to-take-tak-d264|/d0264
265,1,/o-cervene-karkulce-d265|/d0265
266,0,/zavedeme-vas-d266|/d0266
267,0,/palecek-d267|/d0267
268,0,/moje-abeceda-d268|/d0268
269,0,/josef-lada-detem-1-d269|/d0269
270,2,/josef-lada-detem-2-d270|/d0270
271,0,/silny-ctibor-d271|/d0271
272,0,/panenka-a-kominicek-d272|/d0272
273,0,/osklive-kachnatko-d273|/d0273
274,0,/kuzlatka-a-vlk-d274|/d0274
275,0,/krejcik-hrdina-d275|/d0275
276,0,/princezna-pampeliska-d276|/d0276
277,0,/mosno-zatres-se-d277|/d0277
278,2,/o-popelusce-d278|/d0278
